year,subtotal_group,revised_name,gross_expenditure,net_expenditure,property_tax_levy,avg_cpi,inflation_factor,inflation_adjusted_gross,inflation_adjusted_net,inflation_adjusted_levy,inflation_adjusted_levy_2017,gross_expenditure_normalized,inflation_adjusted_gross_normalised,property_tax_levy_normalized,inflation_adjusted_levy_normalized
2019,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,1541,1541,918,137.49166666666667,1.1108772432489022,1711.8618318465583,1711.8618318465583,1019.7853093024922,830.475020682048,1,1,1.2803347280334727,1.2279542236742635
2020,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,1804,1804,1104,138.36666666666667,1.1038523028404985,1991.3495543242593,1991.3495543242593,1218.6529423359104,830.475020682048,1.1706683971447112,1.1632653507883999,1.5397489539748954,1.4674167337809412
2021,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,3943,962,962,143.175,1.0667809578233884,4206.31731669762,1026.2432814260997,1026.2432814260997,830.475020682048,2.5587280986372485,2.457159356231649,1.3417015341701535,1.2357304625288694
2022,Total Community Services,Commissioner of CS + Strategic & Quality Initiatives,6665,3287,2787,152.73636363636365,1,6665,3287,2787,830.475020682048,4.325113562621675,3.893421697947766,3.8870292887029287,3.355910690379474
2017,Total Community Services,Employment & Income Support,,117141,16603,131.86666666666667,1.1582636271716151,,135680.15955051017,19230.651001930328,19230.651001930328,,,1,1
2018,Total Community Services,Employment & Income Support,,120976,15197,134.96666666666667,1.1316598935764162,,136903.68728530052,17197.835402680797,19230.651001930328,,,0.9153165090646269,0.8942929389626237
2019,Total Community Services,Employment & Income Support,129675,129545,15310,137.49166666666667,1.1108772432489022,144053.0065183014,143908.59247667904,17007.530594140695,19230.651001930328,1,1,0.9221225079804855,0.8843970280794716
2020,Total Community Services,Employment & Income Support,129465,129335,14963,138.36666666666667,1.1038523028404985,142910.23838724513,142766.73758787586,16516.94200740238,19230.651001930328,0.9983805668016195,0.9920670303336495,0.9012226706016985,0.8588862647314669
2021,Total Community Services,Employment & Income Support,128800,129565,13084,143.175,1.0667809578233884,137401.38736765244,138217.4748003873,13957.762052161215,19230.651001930328,0.9932523616734144,0.9538251973255143,0.7880503523459615,0.7258080889076594
2022,Total Community Services,Employment & Income Support,125155,125005,13193,152.73636363636365,1,125155,125005,13193,19230.651001930328,0.965143628301523,0.8688121339841631,0.7946154309462146,0.6860402177063958
2017,Total Community Services,Housing Services,,73141,38829,131.86666666666667,1.1582636271716151,,84716.5599549591,44974.21837944665,44974.21837944665,,,1,1
2018,Total Community Services,Housing Services,,75674,40305,134.96666666666667,1.1316598935764162,,85637.23078650172,45611.55201059745,44974.21837944665,,,1.0380128254655026,1.0141710885506365
2019,Total Community Services,Housing Services,79636,79636,41689,137.49166666666667,1.1108772432489022,88465.82014336958,88465.82014336958,46311.36139380348,44974.21837944665,1,1,1.0736562878261093,1.029731323023235
2020,Total Community Services,Housing Services,80517,80517,43214,138.36666666666667,1.1038523028404985,88878.87586780841,88878.87586780841,47701.8734149493,44974.21837944665,1.0110628359033602,1.0046690995886256,1.1129310566844368,1.0606493038409135
2021,Total Community Services,Housing Services,90426,90426,45786,143.175,1.0667809578233884,96464.73489213773,96464.73489213773,48843.63293490166,44974.21837944665,1.1354914862624943,1.0904181381668643,1.1791702078343507,1.0860362824498435
2022,Total Community Services,Housing Services,106491,106491,58545,152.73636363636365,1,106491,106491,58545,44974.21837944665,1.3372218594605454,1.2037530407497317,1.5077648149578924,1.301745802585315
2017,Total Community Services,Seniors' Services,,35208,10036,131.86666666666667,1.1582636271716151,,40780.145785458226,11624.333762294329,11624.333762294329,,,1,1
2018,Total Community Services,Seniors' Services,,36524,10701,134.96666666666667,1.1316598935764162,,41332.745952985024,12109.89252116123,11624.333762294329,,,1.0662614587485053,1.0417708893082458
2019,Total Community Services,Seniors' Services,38143,38143,11277,137.49166666666667,1.1108772432489022,42372.19068924288,42372.19068924288,12527.36267211787,11624.333762294329,1,1,1.1236548425667596,1.0776843583718045
2020,Total Community Services,Seniors' Services,39756,39756,12487,138.36666666666667,1.1038523028404985,43884.75215172686,43884.75215172686,13783.803705569306,11624.333762294329,1.0422882311302204,1.0356970323667494,1.2442208051016341,1.1857715020433788
2021,Total Community Services,Seniors' Services,42425,41903,13231,143.175,1.0667809578233884,45258.182135657255,44701.32247567345,14114.578852961253,11624.333762294329,1.1122617518286448,1.0681105083185385,1.3183539258668793,1.2142269089644082
2022,Total Community Services,Seniors' Services,42312,41790,12088,152.73636363636365,1,42312,41790,12088,11624.333762294329,1.1092992161078048,0.9985794765797142,1.2044639298525308,1.0398875537460615
